name,intercept,size (cm),weight (g),is_male,is_sick,age (y),max_speed (m/s)
Hanlsli der Traurige,1,18.31700333196911,247.70837301591266,1,1,1.7248059199223376,2.0693872180261152
Hanlsli der Agile,1,26.15082363939897,457.7818465688086,1,0,0.5220688699155351,1.9103881819452135
Belinda die Schnelle,1,10.872650444648999,255.42225917488003,0,0,3.274814290388682,2.841038286746273
Belinda die Sture,1,23.394175964427717,323.0293159279086,0,0,8.433944318957217,1.9298695766509992
Belinda die Listige,1,18.500254989273035,361.56693704105635,0,0,5.507829624028906,2.19330270469109
Belinda die Sture,1,13.588787071136307,251.88080195236438,0,0,8.563700593946798,1.750193820243699
Eva die Listige,1,23.00191009045809,393.79500478168006,0,0,5.051768686128515,1.6974478667191235
Sandra die Gescheite,1,21.177431970334545,353.3122367520607,0,0,6.853119287797202,2.0219918932058003
Mauro der Kuriose,1,26.150271242389167,408.8362528249763,1,0,8.739122484487963,1.643455956999588
Claudia die Gefrässige,1,13.69710010787032,318.7342003029438,0,0,4.121832967718428,2.7008814493397417
Eva die Gefrässige,1,13.426598349157452,133.71641995867606,0,1,5.541661644105665,2.9541473687283704
Petra die Listige,1,13.068058192219219,430.2339101032135,0,0,2.366973178862187,2.4986984454655214
Hanlsli der Faule,1,27.10191115556704,363.0923784657146,1,0,5.201070121824069,1.818580173916081
Claudia die Lustige,1,26.63827476237104,458.663963764312,0,0,1.2707426427206403,1.5934259851025745
Claudia die Sture,1,13.511813136847252,335.69806368039843,0,0,3.1147983529858045,2.919679270720551
Robert der Faule,1,17.35075814266456,354.75230770279796,1,0,6.74790070452648,2.105920635911287
Herbert der Weise,1,24.05294003025755,459.3285139379039,1,0,3.9627501769933704,1.7026669586071215
Gerda die Gescheite,1,28.796109311835725,483.48566409852964,0,0,7.022002219717484,3.1990372701809093
Claudia die Lustige,1,27.795026679101486,484.58169194477676,0,0,0.28108653305058406,2.4190438491950443
Sandra die Sture,1,20.74784802897102,354.20860773364967,0,0,6.556197744749014,2.373334245450605
Belinda die Gescheite,1,10.925043749876675,242.9447011511347,0,0,4.819350920446559,1.4266226117550262
Claudia die Gefrässige,1,24.016087505500312,353.24078116268873,0,1,2.4213667227701974,1.1036496006918046
Mauro der Traurige,1,24.18621503099773,329.4379867673849,1,1,7.75698116219815,1.8737554104632703
Robert der Haudegen,1,16.359602182008583,357.4591983072778,1,0,5.979438992709468,0.8865054647340662
Belinda die Sture,1,20.39035440166728,413.55409835266073,0,0,0.2628117864596269,2.0518107484667354
Eva die Listige,1,24.06142014926667,410.96975060073873,0,1,0.11348158955949428,1.9571512768064703
Eva die Listige,1,12.141705678906334,305.0534346126651,0,0,3.0827004033996253,2.7830721476338502
Peter der Faule,1,26.263249209587787,465.30276871794587,1,0,4.224247537930932,2.745195271756656
Petra die Sture,1,15.645273123941895,329.2490410193656,0,0,4.979651716462908,1.525951147795126
Gerda die Listige,1,12.880376722285565,332.53124977769886,0,0,1.4239324659506825,2.234280924819636
Herbert der Haudegen,1,27.542583226526894,430.99458204087523,1,0,1.926522399092604,2.188083065910112
Eva die Listige,1,24.160822464483946,450.28632572413164,0,0,1.8053772833709925,2.104735126795929
Robert der Kuriose,1,18.17894706462718,406.56972623675085,1,0,1.5226854396780765,1.6837155601956857
Sandra die Listige,1,27.965925667000164,431.8057356933975,0,0,7.249302615343512,2.1691312263154052
Adalwolf der Kuriose,1,22.239718494939204,472.3055071189458,1,0,1.7825993367387094,1.5086666732090253
Robert der Traurige,1,19.490444170368463,270.2767018436008,1,0,3.093063210573667,2.687367593527851
Sandra die Lustige,1,10.621005660956177,213.97640950087546,0,0,6.304973981324434,2.3175834174023464
Mauro der Agile,1,12.352418263327873,272.97620611100876,1,0,4.575401408788828,2.728908942918882
Herbert der Traurige,1,20.211348222074225,340.89708994609,1,0,3.7999797245284306,0.8598836867464399
Peter der Weise,1,18.614361794402463,358.63645412549727,1,0,9.495696618884748,1.4421827362617519
Mauro der Haudegen,1,25.69642132797749,498.2268216673336,1,0,1.200190807079472,1.7080668863743729
Robert der Kuriose,1,15.061015935827433,219.89557429404823,1,0,5.805366207835245,2.248567287997987
Petra die Gefrässige,1,14.818606292180966,345.7306498520349,0,0,4.635312072421898,1.7491972129813924
Eva die Schnelle,1,24.427576147797893,387.3954203782722,0,0,0.505302442809058,2.435449237189332
Mauro der Agile,1,24.88658026815703,387.4176810406975,1,0,6.21930343493014,2.359729972622848
Sandra die Lustige,1,20.606189384531802,370.2201581363851,0,0,6.862613330794786,2.338257012540835
Gerda die Sture,1,14.595562068312303,396.9857118223583,0,0,0.23236179051020933,3.1473012529252005
Belinda die Sture,1,13.318659926020377,291.00601639538297,0,0,8.455415830115863,2.234338336511574
Sandra die Lustige,1,19.611077299152438,354.4647946901803,0,1,3.6415651911575218,2.714190580994327
Robert der Agile,1,26.38626236818719,400.1933688875517,1,0,7.54004359826217,2.7195711215388965
Adalwolf der Kuriose,1,26.541181867752687,447.710046881103,1,0,5.070161253129147,2.7370229907252304
Eva die Gefrässige,1,26.797280634029818,429.9867417974345,0,0,3.0144658345718423,2.342346411327066
Kunigunde die Gefrässige,1,19.594346678595503,359.60339421857185,0,0,0.3506008426066609,1.690355763949863
Kasper der Haudegen,1,16.196337455205985,235.4054444181573,1,0,9.655618550562068,2.3176901528037317
Adalwolf der Agile,1,11.907219943207144,236.28126487004113,1,1,2.140783057325566,1.586569169870074
Mauro der Weise,1,28.022801655772525,571.8209140140472,1,0,4.902035319000587,1.718808641091924
Petra die Listige,1,13.755298117494931,302.4689310313111,0,0,7.117093078976005,2.4419889292106625
Kasper der Haudegen,1,17.020272150962086,344.1715363731631,1,0,6.78129361943527,1.5197917110378
Kunigunde die Gescheite,1,11.92915610794629,301.1274797144844,0,0,6.898459226231037,1.7081522247848642
Robert der Kuriose,1,29.45331689486933,602.5942793171307,1,0,1.811142277303781,2.0190589629687086
Mauro der Weise,1,24.975608191921054,521.5671534547727,1,0,3.5304549806735963,1.4266443670779236
Hanlsli der Haudegen,1,19.915026921994126,159.0088691320917,1,1,6.319538903814413,2.489456206891342
Gerda die Gefrässige,1,12.134018566285715,338.5804464806343,0,0,3.0038654161675393,1.9786937771832651
Hanlsli der Weise,1,11.061925853389983,270.730090268343,1,0,0.6173802176778587,1.7305059503752753
Claudia die Gescheite,1,21.544008205216873,278.94912483827056,0,0,5.690646381453456,2.0467499788423775
Mauro der Faule,1,26.312405522673,533.5851204261259,1,0,0.2646888633143074,1.8044939088664782
Eva die Schnelle,1,23.04732972345967,419.0594918581462,0,0,0.17566280995552352,1.412382689770689
Claudia die Gescheite,1,29.23623814722225,477.1642605081241,0,0,9.345258941023824,1.9215102337635008
Gerda die Sture,1,14.423119469905624,319.2884457568092,0,0,2.6630473330263458,2.499792071232464
Hanlsli der Faule,1,10.007880251813226,161.98856063332866,1,0,5.4436460801661335,1.7778586813038952
Peter der Weise,1,21.71852431572072,366.5922976836987,1,0,3.2213160588552836,1.776841903060205
Herbert der Agile,1,15.775319386464076,211.9344035105937,1,1,3.3826071335644037,1.1352062369313731
Adalwolf der Agile,1,11.79163880135367,329.2883285024644,1,0,5.838513392987281,1.6086909531838574
Peter der Faule,1,21.765582429479558,345.8726392383111,1,0,7.810888380556397,2.7560077888439336
Mauro der Weise,1,13.017901145504652,260.33776377368446,1,0,4.7333176977193006,1.3274084378688285
Mauro der Haudegen,1,11.792161559955336,340.60524126374014,1,0,1.6145920728376428,2.2801921542717967
Adalwolf der Traurige,1,29.221147393129236,386.9139865946168,1,1,3.446372415218757,2.225816573355518
Mauro der Haudegen,1,13.940839548111018,231.41843688485145,1,0,9.090133253773875,1.9347838167130513
Hanlsli der Faule,1,17.142513890291482,247.369104496475,1,1,8.921020455075437,1.7548448884307037
Kasper der Agile,1,22.73350219733078,442.2621620395687,1,0,3.5399319060533143,2.1387046277119
Petra die Lustige,1,28.842684533656776,447.1379676344218,0,1,1.6354023267118312,0.972017157791873
Herbert der Haudegen,1,16.49905600911938,179.27782020872547,1,1,1.964725898993418,2.093442167481818
Belinda die Gefrässige,1,21.60491506567837,320.6611879493944,0,0,4.076536307317047,2.010551226716511
Kasper der Kuriose,1,20.317500938301624,378.95090837856645,1,0,9.507240439897647,1.5756576499548793
Robert der Weise,1,15.01679939870743,354.0576879546652,1,0,3.243300785748473,1.831308225546013
Herbert der Agile,1,14.905177747597598,380.63066268901156,1,0,1.1294056017629495,2.6265137897732673
Kasper der Traurige,1,18.518203387755978,292.0005044633276,1,1,1.1064989168147044,1.4698671257505063
Kunigunde die Gescheite,1,21.746065299324187,250.4504816668909,0,0,8.498275498613136,1.3590170472446117
Adalwolf der Agile,1,26.250945295922513,321.80426882610857,1,1,2.767381115229118,2.378887136942173
Herbert der Haudegen,1,18.12376907967565,324.17988946318326,1,0,8.915562563920439,1.5233588529241253
Eva die Lustige,1,17.712121792909358,311.02784453508,0,0,0.48191549644657883,2.0229352035075543
Kunigunde die Sture,1,27.591183727559702,571.5260188222429,0,0,8.857304861237028,1.1439296638408294
Kasper der Weise,1,19.930665572515252,332.72293160834414,1,0,3.0683273587799786,2.105190827378689
Belinda die Sture,1,14.656601869393418,283.9070276866578,0,0,9.034349700095607,2.1820914719088482
Claudia die Sture,1,11.639456381280688,258.9273060125688,0,0,3.6058731183517443,1.5096265954093493
Herbert der Faule,1,26.429816679419986,486.6983561733988,1,0,0.47410294458681057,2.464751816132797
Sandra die Gescheite,1,20.781079066884395,403.59925376564615,0,0,1.0444374573950266,2.582539303938252
Petra die Lustige,1,17.50856862371421,309.44118524241696,0,0,4.693321110462239,2.161696637008034
Hanlsli der Traurige,1,22.836762037847173,358.2559094757676,1,0,9.63491704260846,1.5049793254544928
Gerda die Schnelle,1,10.122628380355163,180.57217458309975,0,0,1.3097322076366724,1.592713641548562
Kunigunde die Schnelle,1,14.728558351433207,410.3144988774364,0,0,0.36931899509326516,2.267326042149378
Kunigunde die Gescheite,1,12.818230243139281,385.63299209763693,0,0,7.225020790091252,1.1457162561922511
Kunigunde die Schnelle,1,11.285039011985425,327.700210100189,0,0,8.777756707720613,2.8301678107608645
Kasper der Kuriose,1,13.168836330382662,279.22766304408776,1,0,5.898428659596916,2.102986372766388
Kunigunde die Lustige,1,16.020356158219634,307.30353577336336,0,0,0.43639312485466153,1.4262067951996236
Kunigunde die Gescheite,1,15.7787228363093,285.70373259479885,0,0,0.3470281512698803,2.1627759655862677
Claudia die Gefrässige,1,26.28432423523953,455.29719900588213,0,1,4.06114316995642,1.7630135569553051
