name,intercept,size (cm),weight (g),is_male,is_sick,age (y),max_speed (m/s)
Sandra die Sture,1,20.74784802897102,354.20860773364967,0,0,6.556197744749014,2.373334245450605
Herbert der Haudegen,1,27.542583226526894,430.9945820408752,1,0,1.926522399092604,2.188083065910112
Robert der Kuriose,1,29.45331689486933,602.5942793171307,1,0,1.811142277303781,2.019058962968709
Claudia die Gescheite,1,29.23623814722225,477.1642605081241,0,0,9.345258941023824,1.9215102337635008
Mauro der Haudegen,1,11.792161559955336,340.60524126374014,1,0,1.6145920728376428,2.2801921542717967
Kunigunde die Gescheite,1,21.746065299324187,250.4504816668909,0,0,8.498275498613136,1.3590170472446117
Herbert der Haudegen,1,18.12376907967565,324.17988946318326,1,0,8.915562563920439,1.523358852924125
Herbert der Haudegen,1,21.74308127726929,420.11748284654266,1,0,4.428100011340646,1.3075895685954126
Hanlsli der Kuriose,1,14.66481027613102,227.1589842376327,1,0,9.485195902053464,1.8633607487383088
Herbert der Traurige,1,14.09246577722907,275.581817064094,1,0,9.928471437201168,3.0648515867909936
Kasper der Weise,1,13.088146029524578,326.9235679569809,1,0,0.0326869527144724,1.5151094065299526
Peter der Kuriose,1,15.915264842428329,310.2363200420446,1,0,6.945756440244342,2.6562261191897
Hanlsli der Agile,1,16.816409773507097,340.9364838725912,1,0,2.439689723455251,0.6773864877183655
Kasper der Weise,1,16.60260265160269,317.62470615867835,1,0,9.64168612126008,1.3839310630195008
Peter der Haudegen,1,19.037039816615625,345.8650122216189,1,0,6.910440747885732,2.255732902492901
Belinda die Lustige,1,18.222034202323044,357.8366983022365,0,0,3.483478029052499,2.144835730773291
Kunigunde die Listige,1,13.1038176428423,266.3292440981418,0,0,4.976450648052074,1.2835511852167298
Kasper der Traurige,1,26.21563596270989,399.7834417897156,1,0,6.733037178503412,2.4759235138430578
Robert der Agile,1,17.291812372704122,403.9786834477627,1,0,5.136608635835431,2.960142334866135
Sandra die Sture,1,20.481295514367943,294.2853616758394,0,0,9.057430669330682,2.5261582781232867
Belinda die Sture,1,16.73008736375627,353.69559543581016,0,0,2.8125180397413576,1.8660316402988453
Peter der Kuriose,1,17.169766842826043,145.6540874723515,1,1,0.9550801665305064,1.4613019841859842
Adalwolf der Agile,1,22.389781342451563,446.53093700199753,1,0,1.1068506142316648,1.6852053560806857
Eva die Sture,1,29.010857813305147,504.4628437092864,0,0,5.947149333104397,1.868348434659149
Kunigunde die Sture,1,26.186840102188476,491.00170444225614,0,0,7.698866726932318,1.9642639904950951
Peter der Traurige,1,10.59571630797639,236.22265217841283,1,0,1.60562089919144,2.184389270713754
Mauro der Kuriose,1,14.257162061672004,349.9365214474227,1,0,1.4900173987306586,1.832028945836647
Mauro der Haudegen,1,14.563244822661316,366.7790614840808,1,0,6.772261208459746,1.4442546682156094
Eva die Listige,1,22.87263961343376,358.21833192588065,0,0,1.4479139556268328,2.1028165781671357
Adalwolf der Agile,1,28.648568023996937,505.2422322214279,1,0,3.358020330380116,2.260468092979315
Herbert der Kuriose,1,11.66095358528514,296.0379932359176,1,0,6.511231779671083,1.9550905673855263
Kunigunde die Gescheite,1,28.43136480835122,477.08335805586535,0,0,6.097434220957695,2.573997850309847
Peter der Faule,1,22.495554654293898,460.48982564396186,1,0,4.889304434323451,2.547562083100115
Gerda die Schnelle,1,19.508805037185414,320.7895062468156,0,0,9.404676710062729,2.501553491065915
Kunigunde die Lustige,1,20.80685986401848,373.34899449285126,0,0,3.86020950406917,1.617818357664203
Peter der Faule,1,11.173651817400032,261.66631724808093,1,0,4.962988758185837,1.9908064456970236
Eva die Schnelle,1,15.426379790768802,355.11925302752263,0,0,2.2144492007598107,1.5441557325136557
Petra die Gescheite,1,28.57253405761636,534.2017458900223,0,0,6.993015790097604,2.379995683590788
Adalwolf der Agile,1,16.198699237608665,357.28949578187246,1,0,3.1496030283679355,2.58749943108401
Mauro der Kuriose,1,19.513471925022277,337.5806073165778,1,0,3.0166240706906766,1.772568282346026
Kasper der Haudegen,1,13.603521800036583,289.9279666533998,1,0,9.16992734990173,1.8661629105377768
Claudia die Schnelle,1,11.85089738687564,184.2212929953914,0,0,9.257453284417672,2.1901246908763605
Peter der Weise,1,18.499160144498745,299.6455578770549,1,0,5.761612274340926,1.8730006409930515
Kunigunde die Gescheite,1,26.17613324264654,442.1044067559752,0,0,6.065765786765064,1.5438080361358366
Herbert der Haudegen,1,29.513526358320096,336.26974921099287,1,1,3.422857544009382,1.4167277226674284
Claudia die Gescheite,1,25.37280187598038,450.3372791500144,0,0,2.432753327521573,1.3736186234060292
Gerda die Lustige,1,14.828475114553845,211.50166825245017,0,0,4.282697603486926,3.2993357881285954
Kunigunde die Sture,1,24.61831727506768,338.19774438453743,0,1,8.172762409813028,2.585761716128021
Kasper der Traurige,1,29.378353375361726,364.54290213310384,1,0,7.496144923753803,1.817905781032109
Adalwolf der Faule,1,24.61268787707316,369.66495396498345,1,0,3.118031296832454,1.4765694899618222
Kasper der Weise,1,16.88945373097697,298.6000216379505,1,0,0.4847335737735359,2.8201959374436854
Gerda die Listige,1,29.18015198072348,388.6960178001253,0,1,8.092129746149915,1.6107682241302168
Kasper der Faule,1,21.523467422364604,451.62379678567066,1,0,4.697916910577167,1.7718760311578778
Gerda die Sture,1,16.433873718176102,282.86793560049813,0,1,1.3921546806300011,1.6312609277448011
Petra die Sture,1,27.84133573696644,416.2901326469878,0,0,9.602627085248304,2.486967284279637
Robert der Traurige,1,19.919669621960946,334.4210639149504,1,0,3.355819656197667,1.640270447175644
Eva die Schnelle,1,19.95222191765429,337.6788822281142,0,0,5.581685572852906,1.9267302291591908
Herbert der Weise,1,15.417043643002984,341.91622606606904,1,0,3.201147897645593,2.3160834305452718
Mauro der Haudegen,1,27.46215824863117,523.7440429652338,1,0,4.122444661280622,1.6955215454008736
Sandra die Schnelle,1,18.94524135258802,317.7545328301165,0,0,4.374227630339693,2.111683304829039
Petra die Schnelle,1,11.145693814685742,253.7612154017353,0,1,1.80446700346509,1.6911260414097224
Sandra die Listige,1,14.937460099161571,332.13892513364686,0,0,7.499938318981524,2.2281649934557195
Adalwolf der Traurige,1,11.96438216940134,285.8822146928367,1,0,2.842657890995248,2.431328422967012
Claudia die Sture,1,13.392521385897108,323.65582033719335,0,0,7.065368350761963,1.945297187347336
Robert der Traurige,1,20.96505754267272,351.5995887030048,1,0,9.365477549541302,2.5443480725282424
Eva die Sture,1,18.37143835967531,296.21116186199936,0,0,9.851283286769736,1.935724114319894
Kasper der Traurige,1,14.605983643050116,326.4444170065404,1,0,5.24179404256946,2.283143537347265
Petra die Sture,1,19.90709361085244,358.81062824121034,0,0,7.605096756447923,2.272734268556949
Kunigunde die Schnelle,1,25.598823772365915,368.1086091721874,0,0,1.4952027496549023,1.740691378941649
Kunigunde die Lustige,1,17.48558092686278,252.69762410845857,0,0,7.7423911710209,2.1889807904378142
Kunigunde die Schnelle,1,25.857949048967185,332.0510541955916,0,1,6.3418724060995295,2.1676501600362346
Kunigunde die Listige,1,14.977123036353534,310.4842465564385,0,0,1.8778187782368336,0.829265300922674
Kasper der Agile,1,28.64824145648185,578.410371537069,1,0,5.467485845071569,2.235711534087692
Claudia die Gefrässige,1,11.566650131446163,238.1534950067575,0,0,7.661806461353279,2.056255889147551
Adalwolf der Faule,1,21.66899577592944,402.7263160313979,1,0,3.6396202163320615,1.6312438593350618
